,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,Polarity,Subjective,text_len,text_word_count
0,"@brijendra_a you're the seeker - the one who loves exploring!

Go ahead, find your best angles and flex them with #GalaxyZFlip4, and unfold your world.

#FlexEveryAngle #Samsung https://t.co/Q5Gc9ybTQe", you re the seeker the one who loves exploring go ahead find your best angles and flex them with galaxyzflip4 and unfold your world flexeveryangle samsung ,1.0,0.3,positive,0.0,0.752,0.248,0.836,1.0,0.3,155,26
1,"#Samsung Tab S8 Ultra 512gb Wifi
Dm/ Call or Whatsapp
To place order:
0818 382 0891 Uzo
0818 382 0897 Sammy
0818 382 0026 Amarachi (Abuja store)
08188880047 Favour (Lekki Store) https://t.co/33WskiAqpN", samsung tab s8 ultra 512gb wifi dm call or whatsapp to place order 0818 382 0891 uzo 0818 382 0897 sammy 0818 382 0026 amarachi abuja store 08188880047 favour lekki store ,0.0,0.0,positive,0.0,0.912,0.088,0.4404,0.0,0.0,172,31
2,#New #firmware #Samsung Galaxy Note10 Lite #SM_N770F #ECO | pda: #N770FXXU8GVG4 https://t.co/2ENU3ASb1V, new firmware samsung galaxy note10 lite sm n770f eco pda n770fxxu8gvg4 ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,72,11
3,#New #firmware #Samsung Galaxy Note10 Lite #SM_N770F #GLB | pda: #N770FXXU8GVG4 https://t.co/nu6U06ReN2, new firmware samsung galaxy note10 lite sm n770f glb pda n770fxxu8gvg4 ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,72,11
4,#New #firmware #Samsung Galaxy Note10 Lite #SM_N770F #ECO | pda: #N770FXXU8GVG4 https://t.co/8kF2AgaB6B, new firmware samsung galaxy note10 lite sm n770f eco pda n770fxxu8gvg4 ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,72,11
5,#New #firmware #Samsung Galaxy Note10 Lite #SM_N770F #GLB | pda: #N770FXXU8GVG4 https://t.co/ILYI8DdqDw, new firmware samsung galaxy note10 lite sm n770f glb pda n770fxxu8gvg4 ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,72,11
6,#New #firmware #Samsung Galaxy Note10 Lite #SM_N770F #ECO | pda: #N770FXXU8GVG4 https://t.co/aD5KidpAon, new firmware samsung galaxy note10 lite sm n770f eco pda n770fxxu8gvg4 ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,72,11
7,#New #firmware #Samsung Galaxy Note10 Lite #SM_N770F #GLB | pda: #N770FXXU8GVG4 https://t.co/w0RH3HnHUd, new firmware samsung galaxy note10 lite sm n770f glb pda n770fxxu8gvg4 ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,72,11
8,#New #firmware #Samsung Galaxy Note10 Lite #SM_N770F #ECO | pda: #N770FXXU8GVG4 https://t.co/18Dx6EBCBk, new firmware samsung galaxy note10 lite sm n770f eco pda n770fxxu8gvg4 ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,72,11
9,#New #firmware #Samsung Galaxy Note10 Lite #SM_N770F #GLB | pda: #N770FXXU8GVG4 https://t.co/hsPHbYRxWr, new firmware samsung galaxy note10 lite sm n770f glb pda n770fxxu8gvg4 ,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,0.13636363636363635,0.45454545454545453,72,11
